,Access Order,ID,Name,Continent,Country,Web Link,Star Rating,Elevation Change (m),Base Elevation (m),Max Elevation (m),Total Piste Length (km),Blue Piste Length (km),Red Piste Length (km),Black Piste Length (km),Ski Lifts,Ski Pass Cost,Photo URL,Photo,Page Link
494,495,4955,White Pass,North America,USA,https://www.skiresort.info/ski-resort/white-pass/,3.1,615 m,1371 m,1986 m,30 km,10 km,12 km,8 km,6 ski lifts,"US$ 69,- / approx. € 58,-",https://www.skiresort.info/typo3temp/assets/_processed_/ad/df/fd/d8/54cdfccfd4.jpg,White_Pass_IDresort4955.jpg,https://www.skiresort.info/ski-resorts/page/4/
495,496,1461,Stoos – Fronalpstock/Klingenstock,Europe,Switzerland,https://www.skiresort.info/ski-resort/stoos-fronalpstockklingenstock/,3.1,635 m,1300 m,1935 m,35 km,1.2 km,23.8 km,10 km,8 ski lifts,"SFr. 50,- / approx. € 45,-",https://www.skiresort.info/typo3temp/assets/_processed_/de/ef/f0/0c/8260c84acf.jpg,Stoos_–_Fronalpstock/Klingenstock_IDresort1461.jpg,https://www.skiresort.info/ski-resorts/page/4/
496,497,220,Pichlberg – Reinswald (San Martino in Sarentino),Europe,Italy,https://www.skiresort.info/ski-resort/pichlberg-reinswald-san-martino-in-sarentino/,3.1,890 m,1570 m,2460 m,22 km,3 km,17 km,2 km,4 ski lifts,€ 38.50,https://www.skiresort.info/typo3temp/_processed_/f7/72/20/07/7a57e4d3c8.jpg,Pichlberg_–_Reinswald_(San_Martino_in_Sarentino)_IDresort220.jpg,https://www.skiresort.info/ski-resorts/page/4/
497,498,3992,Powderhorn,North America,USA,https://www.skiresort.info/ski-resort/powderhorn/,3.1,501 m,2499 m,3000 m,38 km,5 km,15 km,18 km,3 ski lifts,"US$ 79,- / approx. € 66,-",https://www.skiresort.info/typo3temp/assets/_processed_/fa/a0/0a/a5/8fbe8e4b6d.jpg,Powderhorn_IDresort3992.jpg,https://www.skiresort.info/ski-resorts/page/4/
498,499,273,Mariborsko Pohorje – Maribor,Europe,Slovenia,https://www.skiresort.info/ski-resort/mariborsko-pohorje-maribor/,3.1,1002 m,325 m,1327 m,41.5 km,23.5 km,13 km,5 km,22 ski lifts,"€ 33,-",https://www.skiresort.info/typo3temp/_processed_/60/03/3b/b4/0572bbd3bb.jpg,Mariborsko_Pohorje_–_Maribor_IDresort273.jpg,https://www.skiresort.info/ski-resorts/page/4/
499,500,3255,Lost Trail Powder Mountain,North America,USA,https://www.skiresort.info/ski-resort/lost-trail-powder-mountain/,3.1,590 m,1960 m,2550 m,50 km,15 km,25 km,10 km,8 ski lifts,"US$ 46,- / approx. € 39,-",https://www.skiresort.info/typo3temp/_processed_/75/53/36/61/e48d7bac69.jpg,Lost_Trail_Powder_Mountain_IDresort3255.jpg,https://www.skiresort.info/ski-resorts/page/4/
500,501,446,Whakapapa,Australia and Oceania,New Zealand,https://www.skiresort.info/ski-resort/whakapapa/,3.1,670 m,1630 m,2300 m,44 km,2 km,28 km,14 km,8 ski lifts,"NZ$ 149,- / approx. € 90,-",https://www.skiresort.info/typo3temp/_processed_/79/97/77/76/be8351474c.jpg,Whakapapa_IDresort446.jpg,https://www.skiresort.info/ski-resorts/page/4/
501,502,2922,High1 Resort,Asia,South Korea,https://www.skiresort.info/ski-resort/high1-resort/,3.1,677 m,690 m,1367 m,21 km,4 km,7.5 km,9.5 km,11 ski lifts,,https://www.skiresort.info/typo3temp/_processed_/34/44/46/67/1503dc9025.jpg,High1_Resort_IDresort2922.jpg,https://www.skiresort.info/ski-resorts/page/4/
502,503,3287,Mad River Glen,North America,USA,https://www.skiresort.info/ski-resort/mad-river-glen/,3.1,621 m,487 m,1108 m,46 km,14 km,17 km,15 km,4 ski lifts,"US$ 92,- / approx. € 77,-",https://www.skiresort.info/typo3temp/_processed_/95/5f/f2/2c/d74114f299.jpg,Mad_River_Glen_IDresort3287.jpg,https://www.skiresort.info/ski-resorts/page/4/
503,504,2297,Donner Ski Ranch,North America,USA,https://www.skiresort.info/ski-resort/donner-ski-ranch/,3.1,229 m,2142 m,2371 m,52 km,13 km,26 km,13 km,6 ski lifts,"US$ 79,- / approx. € 66,-",https://www.skiresort.info/typo3temp/_processed_/5c/c9/92/29/6a193ce765.jpg,Donner_Ski_Ranch_IDresort2297.jpg,https://www.skiresort.info/ski-resorts/page/4/
504,505,297,June Mountain,North America,USA,https://www.skiresort.info/ski-resort/june-mountain/,3.1,787 m,2288 m,3075 m,35.7 km,2.1 km,12.9 km,20.7 km,6 ski lifts,"US$ 129,- / approx. € 108,-",https://www.skiresort.info/typo3temp/_processed_/55/57/7b/b3/606204ba10.jpg,June_Mountain_IDresort297.jpg,https://www.skiresort.info/ski-resorts/page/4/
505,506,2577,Gunstock,North America,USA,https://www.skiresort.info/ski-resort/gunstock/,3.1,426 m,264 m,690 m,40 km,5 km,25 km,10 km,6 ski lifts,"US$ 92,- / approx. € 77,-",https://www.skiresort.info/typo3temp/_processed_/84/46/66/6e/6e388aefc0.jpg,Gunstock_IDresort2577.jpg,https://www.skiresort.info/ski-resorts/page/4/
506,507,2381,Espot Esqui,Europe,Spain,https://www.skiresort.info/ski-resort/espot-esqui/,3.1,781 m,1510 m,2291 m,25 km,13 km,8 km,4 km,3 ski lifts,"€ 34,-",https://www.skiresort.info/typo3temp/_processed_/ac/c1/13/35/91b92b07b7.jpg,Espot_Esqui_IDresort2381.jpg,https://www.skiresort.info/ski-resorts/page/4/
507,508,10921,China Peak,North America,USA,https://www.skiresort.info/ski-resort/china-peak/,3.1,483 m,2147 m,2630 m,50 km,20 km,17 km,13 km,7 ski lifts,"US$ 104,- / approx. € 87,-",https://www.skiresort.info/typo3temp/assets/_processed_/f5/5d/dc/c7/0929033aeb.jpg,China_Peak_IDresort10921.jpg,https://www.skiresort.info/ski-resorts/page/4/
508,509,3434,Mitsumata/Kagura/Tashiro (Mt. Naeba),Asia,Japan,https://www.skiresort.info/ski-resort/mitsumatakaguratashiro-mt-naeba/,3.1,1225 m,620 m,1845 m,25 km,7.5 km,8.8 km,8.7 km,23 ski lifts,"¥ 6000,- / approx. € 46,-",https://www.skiresort.info/typo3temp/_processed_/55/5b/bf/fb/4d308ea068.jpg,Mitsumata/Kagura/Tashiro_(Mt._Naeba)_IDresort3434.jpg,https://www.skiresort.info/ski-resorts/page/4/
509,510,11009,Genting Resort Secret Garden,Asia,China,https://www.skiresort.info/ski-resort/genting-resort-secret-garden/,3.1,398 m,1702 m,2100 m,16 km,3.3 km,7.4 km,5.3 km,5 ski lifts,"Ұ 700,- / approx. € 90,-",https://www.skiresort.info/typo3temp/_processed_/ea/a2/2a/ad/47558a723f.jpg,Genting_Resort_Secret_Garden_IDresort11009.jpg,https://www.skiresort.info/ski-resorts/page/4/
510,511,2275,Discovery Ski Area,North America,USA,https://www.skiresort.info/ski-resort/discovery-ski-area/,3.1,726 m,1758 m,2484 m,45 km,12 km,12 km,21 km,7 ski lifts,"US$ 49,- / approx. € 41,-",https://www.skiresort.info/typo3temp/_processed_/3e/ef/f2/2a/861bcfb264.jpg,Discovery_Ski_Area_IDresort2275.jpg,https://www.skiresort.info/ski-resorts/page/4/
511,512,3857,Panticosa,Europe,Spain,https://www.skiresort.info/ski-resort/panticosa/,3.1,1058 m,1146 m,2204 m,35 km,11 km,21 km,3 km,10 ski lifts,€ 43.50,https://www.skiresort.info/typo3temp/assets/_processed_/16/60/05/50/c515e7b1ab.jpg,Panticosa_IDresort3857.jpg,https://www.skiresort.info/ski-resorts/page/4/
512,513,5843,Konakli (Ejder 3200 World Ski Center),Asia,Turkey,https://www.skiresort.info/ski-resort/konakli-ejder-3200-world-ski-center/,3.1,940 m,2200 m,3140 m,22 km,6 km,3 km,13 km,6 ski lifts,,https://www.skiresort.info/typo3temp/_processed_/2a/a2/27/7e/cde992220a.jpg,Konakli_(Ejder_3200_World_Ski_Center)_IDresort5843.jpg,https://www.skiresort.info/ski-resorts/page/4/
513,514,2142,Shymbulak (Chimbulak),Asia,Kazakhstan,https://www.skiresort.info/ski-resort/shymbulak-chimbulak/,3.1,903 m,2260 m,3163 m,20 km,4 km,10 km,6 km,6 ski lifts,"KZT 9500,- / approx. € 19,-",https://www.skiresort.info/typo3temp/_processed_/cc/c3/37/7d/903a540dc4.jpg,Shymbulak_(Chimbulak)_IDresort2142.jpg,https://www.skiresort.info/ski-resorts/page/4/
514,515,4785,Uludağ – Bursa,Asia,Turkey,https://www.skiresort.info/ski-resort/uludag-bursa/,3.1,555 m,1767 m,2322 m,28 km,10 km,15 km,3 km,24 ski lifts,"TRY 195,- / approx. € 22,-",https://www.skiresort.info/typo3temp/assets/_processed_/9c/c5/5b/b2/470630680e.jpg,Uludağ_–_Bursa_IDresort4785.jpg,https://www.skiresort.info/ski-resorts/page/4/
515,516,423,Blue Mountain Resort – Collingwood,North America,Canada,https://www.skiresort.info/ski-resort/blue-mountain-resort-collingwood/,3.1,220 m,230 m,450 m,29.3 km,6.1 km,14.3 km,8.9 km,7 ski lifts,"C$ 109,- / approx. € 74,-",https://www.skiresort.info/typo3temp/assets/_processed_/9c/c2/23/35/e74e27e2e3.jpg,Blue_Mountain_Resort_–_Collingwood_IDresort423.jpg,https://www.skiresort.info/ski-resorts/page/4/
516,517,2939,Sarıkamış,Asia,Turkey,https://www.skiresort.info/ski-resort/sarikamis/,3.1,505 m,2130 m,2635 m,21.3 km,7.9 km,8.2 km,5.2 km,5 ski lifts,"TRY 70,- / approx. € 8,-",https://www.skiresort.info/typo3temp/assets/_processed_/b0/04/4e/e8/79286b2431.jpeg,Sarıkamış_IDresort2939.jpg,https://www.skiresort.info/ski-resorts/page/4/
517,518,3643,Nara – Leontica,Europe,Switzerland,https://www.skiresort.info/ski-resort/nara-leontica/,3.1,1192 m,931 m,2123 m,30 km,10 km,15 km,5 km,5 ski lifts,"SFr. 38,- / approx. € 34,-",https://www.skiresort.info/typo3temp/assets/_processed_/30/06/63/30/d5d5c68b13.jpg,Nara_–_Leontica_IDresort3643.jpg,https://www.skiresort.info/ski-resorts/page/4/
518,519,3476,Mont Orford,North America,Canada,https://www.skiresort.info/ski-resort/mont-orford/,3.1,589 m,261 m,850 m,30 km,10 km,8 km,12 km,5 ski lifts,"C$ 66,- / approx. € 45,-",https://www.skiresort.info/typo3temp/assets/_processed_/d9/92/21/16/8565cf84ed.jpg,Mont_Orford_IDresort3476.jpg,https://www.skiresort.info/ski-resorts/page/4/
519,520,27647,Gorny Vozdukh,Russia,Far Eastern Federal District,https://www.skiresort.info/ski-resort/gorny-vozdukh/,3.1,490 m,100 m,590 m,20 km,10.5 km,7.5 km,2 km,6 ski lifts,,https://www.skiresort.info/typo3temp/_processed_/7f/ff/fb/b9/db9cf0051f.jpg,Gorny_Vozdukh_IDresort27647.jpg,https://www.skiresort.info/ski-resorts/page/4/
520,521,10712,Lélex/Crozet,Europe,France,https://www.skiresort.info/ski-resort/lelexcrozet/,3.1,780 m,900 m,1680 m,20.7 km,5.4 km,13.2 km,2.1 km,10 ski lifts,"€ 32,-",https://www.skiresort.info/typo3temp/assets/_processed_/fb/b1/1c/cc/3860af44ab.jpg,Lélex/Crozet_IDresort10712.jpg,https://www.skiresort.info/ski-resorts/page/4/
521,522,2553,Great Divide,North America,USA,https://www.skiresort.info/ski-resort/great-divide/,3.1,458 m,1752 m,2210 m,50 km,10 km,20 km,20 km,6 ski lifts,"US$ 48,- / approx. € 40,-",https://www.skiresort.info/typo3temp/_processed_/21/16/65/5f/2beb8e740d.jpg,Great_Divide_IDresort2553.jpg,https://www.skiresort.info/ski-resorts/page/4/
522,523,6005,Candanchú,Europe,Spain,https://www.skiresort.info/ski-resort/candanchu/,3.1,722 m,1514 m,2236 m,50 km,15.8 km,18.3 km,15.9 km,21 ski lifts,"€ 45,-",https://www.skiresort.info/typo3temp/assets/_processed_/48/87/77/73/301fe945d0.jpg,Candanchú_IDresort6005.jpg,https://www.skiresort.info/ski-resorts/page/4/
523,524,2466,Yuzawa Kogen/Gala Yuzawa/Ishiuchi Maruyama,Asia,Japan,https://www.skiresort.info/ski-resort/yuzawa-kogengala-yuzawaishiuchi-maruyama/,3.1,925 m,256 m,1181 m,33.8 km,14.8 km,12 km,7 km,30 ski lifts,"¥ 4600,- / approx. € 35,-",https://www.skiresort.info/typo3temp/_processed_/f9/99/96/63/b2b4ccd009.jpg,Yuzawa_Kogen/Gala_Yuzawa/Ishiuchi_Maruyama_IDresort2466.jpg,https://www.skiresort.info/ski-resorts/page/4/
524,525,1972,Bosco Gurin – Grossalp,Europe,Switzerland,https://www.skiresort.info/ski-resort/bosco-gurin-grossalp/,3.1,920 m,1480 m,2400 m,30 km,1 km,25 km,4 km,5 ski lifts,"SFr. 55,- / approx. € 50,-",https://www.skiresort.info/typo3temp/_processed_/2e/e8/88/88/03e74abe6c.jpg,Bosco_Gurin_–_Grossalp_IDresort1972.jpg,https://www.skiresort.info/ski-resorts/page/4/
525,526,2140,Valmalenco – Alpe Palù,Europe,Italy,https://www.skiresort.info/ski-resort/valmalenco-alpe-palu/,3.1,826 m,1527 m,2353 m,23.3 km,10.4 km,8.1 km,4.8 km,8 ski lifts,"€ 43,-",https://www.skiresort.info/typo3temp/assets/_processed_/0b/b1/1d/d1/31782d356f.jpg,Valmalenco_–_Alpe_Palù_IDresort2140.jpg,https://www.skiresort.info/ski-resorts/page/4/
526,527,11630,Markbachjoch/Lanerköpfl – Niederau,Europe,Austria,https://www.skiresort.info/ski-resort/markbachjochlanerkoepfl-niederau/,3.1,793 m,828 m,1621 m,24 km,6 km,12 km,6 km,12 ski lifts,"€ 51,-",https://www.skiresort.info/typo3temp/_processed_/af/fe/ea/ab/08ae0fab07.jpg,Markbachjoch/Lanerköpfl_–_Niederau_IDresort11630.jpg,https://www.skiresort.info/ski-resorts/page/4/
527,528,288,Attitash Mountain Resort,North America,USA,https://www.skiresort.info/ski-resort/attitash-mountain-resort/,3.1,533 m,183 m,716 m,37 km,7.4 km,17.4 km,12.2 km,8 ski lifts,"US$ 94,- / approx. € 79,-",https://www.skiresort.info/typo3temp/assets/_processed_/98/8a/ad/de/e1294b6099.jpg,Attitash_Mountain_Resort_IDresort288.jpg,https://www.skiresort.info/ski-resorts/page/4/
528,529,2282,Dodge Ridge,North America,USA,https://www.skiresort.info/ski-resort/dodge-ridge/,3.1,488 m,2011 m,2499 m,50 km,10 km,20 km,20 km,10 ski lifts,"US$ 78,- / approx. € 65,-",https://www.skiresort.info/typo3temp/_processed_/a8/86/6a/ad/ffdf3806f0.jpg,Dodge_Ridge_IDresort2282.jpg,https://www.skiresort.info/ski-resorts/page/4/
529,530,1361,Thollon les Mémises,Europe,France,https://www.skiresort.info/ski-resort/thollon-les-memises/,3.1,1000 m,1000 m,2000 m,48 km,20 km,28 km,0 km,14 ski lifts,€ 25.50,https://www.skiresort.info/typo3temp/assets/_processed_/20/05/58/81/a32d1e8f83.jpg,Thollon_les_Mémises_IDresort1361.jpg,https://www.skiresort.info/ski-resorts/page/4/
530,531,1734,Lotte Arai Resort,Asia,Japan,https://www.skiresort.info/ski-resort/lotte-arai-resort/,3.1,951 m,329 m,1280 m,16 km,6.8 km,5.2 km,4 km,5 ski lifts,"¥ 4500,- / approx. € 35,-",https://www.skiresort.info/typo3temp/assets/_processed_/98/81/15/58/dbcb20796b.jpg,Lotte_Arai_Resort_IDresort1734.jpg,https://www.skiresort.info/ski-resorts/page/4/
531,532,2212,Cranmore Mountain Resort,North America,USA,https://www.skiresort.info/ski-resort/cranmore-mountain-resort/,3.1,342 m,267 m,609 m,43 km,16 km,19 km,8 km,6 ski lifts,"US$ 89,- / approx. € 75,-",https://www.skiresort.info/typo3temp/_processed_/f9/97/76/60/a280c831c6.jpg,Cranmore_Mountain_Resort_IDresort2212.jpg,https://www.skiresort.info/ski-resorts/page/4/
532,533,88,Patscherkofel – Innsbruck-Igls,Europe,Austria,https://www.skiresort.info/ski-resort/patscherkofel-innsbruck-igls/,3.1,956 m,1009 m,1965 m,19 km,5 km,10 km,4 km,5 ski lifts,"€ 40,-",https://www.skiresort.info/typo3temp/_processed_/ad/d5/59/91/d7e1d8c41e.jpg,Patscherkofel_–_Innsbruck-Igls_IDresort88.jpg,https://www.skiresort.info/ski-resorts/page/4/
533,534,401,Mount Hotham,Australia and Oceania,Australia,https://www.skiresort.info/ski-resort/mount-hotham/,3.1,395 m,1450 m,1845 m,50 km,10 km,20 km,20 km,12 ski lifts,"AU$ 142,- / approx. € 93,-",https://www.skiresort.info/typo3temp/_processed_/20/02/2b/bd/24566ee6b1.jpg,Mount_Hotham_IDresort401.jpg,https://www.skiresort.info/ski-resorts/page/4/
534,535,2780,Mythenregion,Europe,Switzerland,https://www.skiresort.info/ski-resort/mythenregion/,3.1,523 m,1070 m,1593 m,50 km,18 km,31 km,1 km,15 ski lifts,"SFr. 47,- / approx. € 42,-",https://www.skiresort.info/typo3temp/assets/_processed_/d3/39/92/26/8df4189dc0.jpg,Mythenregion_IDresort2780.jpg,https://www.skiresort.info/ski-resorts/page/4/
535,536,30,Kolbensattel – Oberammergau,Europe,Germany,https://www.skiresort.info/ski-resort/kolbensattel-oberammergau/,3.1,416 m,860 m,1276 m,8 km,7.4 km,0.6 km,0 km,9 ski lifts,"€ 32,-",https://www.skiresort.info/typo3temp/_processed_/94/46/64/4c/f8ca0ad395.jpg,Kolbensattel_–_Oberammergau_IDresort30.jpg,https://www.skiresort.info/ski-resorts/page/4/
536,537,1587,Štrbské Pleso,Europe,Slovakia,https://www.skiresort.info/ski-resort/strbske-pleso/,3.1,464 m,1376 m,1840 m,8.3 km,2.7 km,5.6 km,0 km,7 ski lifts,"€ 49,-",https://www.skiresort.info/typo3temp/_processed_/aa/a2/2f/f6/c518d3ce16.jpg,Štrbské_Pleso_IDresort1587.jpg,https://www.skiresort.info/ski-resorts/page/4/
537,538,274,Willingen – Ettelsberg,Europe,Germany,https://www.skiresort.info/ski-resort/willingen-ettelsberg/,3.1,260 m,578 m,838 m,16 km,7 km,9 km,0 km,9 ski lifts,"€ 31,-",https://www.skiresort.info/typo3temp/_processed_/7b/bc/ca/a9/c01edd16e6.jpg,Willingen_–_Ettelsberg_IDresort274.jpg,https://www.skiresort.info/ski-resorts/page/4/
538,539,318,Canada Olympic Park – Calgary,North America,Canada,https://www.skiresort.info/ski-resort/canada-olympic-park-calgary/,3.1,116 m,1130 m,1246 m,4 km,3.5 km,0.5 km,0 km,2 ski lifts,,https://www.skiresort.info/typo3temp/_processed_/10/0a/a4/41/41e17c2604.jpg,Canada_Olympic_Park_–_Calgary_IDresort318.jpg,https://www.skiresort.info/ski-resorts/page/4/
539,540,2081,Carì,Europe,Switzerland,https://www.skiresort.info/ski-resort/cari/,3.1,622 m,1650 m,2272 m,20 km,8 km,8 km,4 km,3 ski lifts,"SFr. 43,- / approx. € 39,-",https://www.skiresort.info/typo3temp/assets/_processed_/be/eb/ba/ae/689422584b.jpg,Carì_IDresort2081.jpg,https://www.skiresort.info/ski-resorts/page/4/
540,541,473,Vercorin,Europe,Switzerland,https://www.skiresort.info/ski-resort/vercorin/,3.1,1033 m,1341 m,2374 m,35 km,13 km,19 km,3 km,9 ski lifts,"SFr. 52,- / approx. € 47,-",https://www.skiresort.info/typo3temp/_processed_/8d/d3/33/37/1279b2a3c5.jpg,Vercorin_IDresort473.jpg,https://www.skiresort.info/ski-resorts/page/4/
541,542,424,Valle Nevado,South America,Chile,https://www.skiresort.info/ski-resort/valle-nevado/,3.1,810 m,2860 m,3670 m,40 km,4 km,14.4 km,21.6 km,14 ski lifts,"CLP 53000,- / approx. € 62,-",https://www.skiresort.info/typo3temp/_processed_/cb/b6/6e/e4/41ee8416d4.jpg,Valle_Nevado_IDresort424.jpg,https://www.skiresort.info/ski-resorts/page/4/
542,543,1372,St. Pierre de Chartreuse – Le Planolet,Europe,France,https://www.skiresort.info/ski-resort/st-pierre-de-chartreuse-le-planolet/,3.1,900 m,900 m,1800 m,35 km,18 km,12 km,5 km,15 ski lifts,"€ 26,-",https://www.skiresort.info/typo3temp/assets/_processed_/a9/93/3b/b1/a3bd209406.jpg,St._Pierre_de_Chartreuse_–_Le_Planolet_IDresort1372.jpg,https://www.skiresort.info/ski-resorts/page/4/
543,544,1301,Tarvisio – Monte Lussari,Europe,Italy,https://www.skiresort.info/ski-resort/tarvisio-monte-lussari/,3.1,998 m,754 m,1752 m,24 km,9 km,11 km,4 km,10 ski lifts,€ 39.50,https://www.skiresort.info/typo3temp/assets/_processed_/fe/e0/0f/f3/1f40d54075.jpg,Tarvisio_–_Monte_Lussari_IDresort1301.jpg,https://www.skiresort.info/ski-resorts/page/4/
544,545,1771,Astún,Europe,Spain,https://www.skiresort.info/ski-resort/astun/,3.1,617 m,1655 m,2272 m,39.9 km,16.8 km,18.8 km,4.3 km,12 ski lifts,"€ 43,-",https://www.skiresort.info/typo3temp/_processed_/52/22/2f/fd/d7b920fb19.jpg,Astún_IDresort1771.jpg,https://www.skiresort.info/ski-resorts/page/4/
545,546,4512,Strandafjellet,Europe,Norway,https://www.skiresort.info/ski-resort/strandafjellet/,3.1,800 m,430 m,1230 m,25 km,14 km,7 km,4 km,7 ski lifts,"NOK 450,- / approx. € 45,-",https://www.skiresort.info/typo3temp/_processed_/6a/ac/c1/12/2880a8a7ed.jpg,Strandafjellet_IDresort4512.jpg,https://www.skiresort.info/ski-resorts/page/4/
546,547,5952,Wasserngrat – Gstaad,Europe,Switzerland,https://www.skiresort.info/ski-resort/wasserngrat-gstaad/,3.1,625 m,1275 m,1900 m,9.3 km,3.5 km,3.6 km,2.2 km,1 ski lift,"SFr. 77,- / approx. € 70,-",https://www.skiresort.info/typo3temp/_processed_/06/61/1f/f1/55e4bb5b3b.jpg,Wasserngrat_–_Gstaad_IDresort5952.jpg,https://www.skiresort.info/ski-resorts/page/4/
547,548,1385,Porté Puymorens,Europe,France,https://www.skiresort.info/ski-resort/porte-puymorens/,3.1,871 m,1600 m,2471 m,50 km,21 km,20 km,9 km,9 ski lifts,"€ 33,-",https://www.skiresort.info/typo3temp/assets/_processed_/21/19/9e/ea/6cff0bff5b.jpg,Porté_Puymorens_IDresort1385.jpg,https://www.skiresort.info/ski-resorts/page/4/
548,549,409,Krvavec,Europe,Slovenia,https://www.skiresort.info/ski-resort/krvavec/,3.1,521 m,1450 m,1971 m,30 km,7 km,15 km,8 km,11 ski lifts,"€ 35,-",https://www.skiresort.info/typo3temp/assets/_processed_/24/49/94/4e/cb0e38e34c.jpg,Krvavec_IDresort409.jpg,https://www.skiresort.info/ski-resorts/page/4/
549,550,3595,Muju Deogyusan Resort,Asia,South Korea,https://www.skiresort.info/ski-resort/muju-deogyusan-resort/,3.1,884 m,730 m,1614 m,24 km,12 km,10 km,2 km,13 ski lifts,,https://www.skiresort.info/typo3temp/assets/_processed_/31/1c/c1/1d/603b9f9ad8.jpg,Muju_Deogyusan_Resort_IDresort3595.jpg,https://www.skiresort.info/ski-resorts/page/4/
550,551,183,Glacier 3000 – Les Diablerets,Europe,Switzerland,https://www.skiresort.info/ski-resort/glacier-3000-les-diablerets/,3.1,1673 m,1343 m,3016 m,30 km,14.5 km,5.5 km,10 km,10 ski lifts,"SFr. 65,- / approx. € 59,-",https://www.skiresort.info/typo3temp/_processed_/4a/a3/3e/ed/b6cf5cd537.jpg,Glacier_3000_–_Les_Diablerets_IDresort183.jpg,https://www.skiresort.info/ski-resorts/page/4/
551,552,5044,YongPyong Resort,Asia,South Korea,https://www.skiresort.info/ski-resort/yongpyong-resort/,3.1,738 m,700 m,1438 m,24.2 km,2.8 km,11.4 km,10 km,15 ski lifts,"KRW 80000,- / approx. € 60,-",https://www.skiresort.info/typo3temp/assets/_processed_/df/fd/d0/02/0f0bd26cf5.jpg,YongPyong_Resort_IDresort5044.jpg,https://www.skiresort.info/ski-resorts/page/4/
552,553,1300,Zoncolan – Ravascletto/Sutrio,Europe,Italy,https://www.skiresort.info/ski-resort/zoncolan-ravasclettosutrio/,3.1,1070 m,900 m,1970 m,22 km,9 km,8 km,5 km,7 ski lifts,€ 39.50,https://www.skiresort.info/typo3temp/assets/_processed_/74/49/97/76/55a55f9d16.jpg,Zoncolan_–_Ravascletto/Sutrio_IDresort1300.jpg,https://www.skiresort.info/ski-resorts/page/4/
553,554,3572,Mt. Elbrus,Russia,North Caucasus,https://www.skiresort.info/ski-resort/mt-elbrus/,3.1,1490 m,2350 m,3840 m,23 km,6 km,12 km,5 km,6 ski lifts,,https://www.skiresort.info/typo3temp/_processed_/6a/a8/8b/b9/59454a1dbc.jpg,Mt._Elbrus_IDresort3572.jpg,https://www.skiresort.info/ski-resorts/page/4/
554,555,1330,SuperBesse – Puy de Sancy,Europe,France,https://www.skiresort.info/ski-resort/superbesse-puy-de-sancy/,3.1,550 m,1300 m,1850 m,43 km,30 km,9 km,4 km,19 ski lifts,€ 34.50,https://www.skiresort.info/typo3temp/assets/_processed_/37/75/5d/d2/99ca05b11d.jpg,SuperBesse_–_Puy_de_Sancy_IDresort1330.jpg,https://www.skiresort.info/ski-resorts/page/4/
